score,n,median,IQR,mean,sd,min,max
llm_usage_score,117,3.5,1.0,3.518518518518518,0.7992386756292148,2.0,5.0
coding_usage_score,128,3.583333333333333,1.0,3.5364583333333335,0.822883961441861,1.6666666666666667,5.0
overall_ai_usage_score,148,3.5,1.0,3.494031531531532,0.7195651720253655,1.6666666666666667,5.0
llm_performance_score,117,3.5,1.0,3.509259259259259,0.6668262899579921,1.8333333333333333,5.0
coding_performance_score,128,3.5,1.0,3.37109375,0.7024407030297759,1.5,5.0
overall_performance_score,148,3.5,1.0,3.4283783783783783,0.6150894811030678,1.7,5.0
risk_score,150,3.0,2.0,3.04,0.8890081948271336,1.0,5.0
future_intent_score,150,4.333333333333333,1.0,4.1977777777777785,0.7174158891753533,1.0,5.0
traditional_use_score,150,3.0,1.333333333333333,3.0888888888888886,0.9377863304563852,1.0,5.0
traditional_preference_score,150,3.3333333333333335,1.3333333333333335,3.3888888888888893,1.098040194824697,1.0,6.0
positive_fix_outcome_score,149,3.5,1.0,3.5201342281879193,0.6547105679664883,2.0,5.0
negative_fix_outcome_score,148,2.833333333333333,1.0,2.9054054054054053,0.7222210436486535,1.3333333333333333,5.0
explanation_quality_score,130,4.0,1.0,3.769230769230769,0.6563755487991758,1.0,5.0
verification_breadth_score,153,3.0,1.0,2.712418300653595,1.0982833651609218,0.0,5.0
sdlc_breadth_score,153,3.0,1.0,2.7712418300653594,1.1150686315090999,0.0,5.0
challenge_breadth_score,153,2.0,1.0,2.2679738562091503,1.1239412324711857,0.0,6.0
experience_score,152,3.0,2.0,3.0921052631578947,1.0632653887245334,1.0,5.0
security_task_frequency_score,152,3.0,1.0,3.276315789473684,0.984632707404524,1.0,5.0
