x,y,n,rho,p,p_holm
overall_performance_score,overall_ai_usage_score,148,0.46150774197321104,3.5577735817298233e-09,1.3163762252400347e-07
overall_performance_score,future_intent_score,147,0.41496662301522275,1.7337338140965396e-07,6.068068349337889e-06
llm_performance_score,overall_ai_usage_score,117,0.3897239476651446,1.403845790489327e-05,0.00043519219505169137
llm_performance_score,future_intent_score,117,0.19489476527215166,0.03522940592948023,0.7045881185896046
coding_performance_score,overall_ai_usage_score,128,0.372815880088202,1.4652090687791491e-05,0.00043956272063374474
coding_performance_score,future_intent_score,127,0.4178129880515398,1.0216970701891906e-06,3.473770038643248e-05
risk_score,overall_ai_usage_score,147,-0.08841794937978455,0.28690020702270064,1.0
risk_score,future_intent_score,149,-0.2876215303749416,0.0003754565335930129,0.010711482802059354
verification_breadth_score,overall_ai_usage_score,148,0.21949136340427744,0.007354439171865047,0.17167843282136444
verification_breadth_score,future_intent_score,150,0.13512643795912985,0.09921316334767485,1.0
negative_fix_outcome_score,overall_ai_usage_score,146,0.16947945230410832,0.04085048686629389,0.7761592504595839
negative_fix_outcome_score,future_intent_score,147,-0.1158641831660468,0.16226401697921927,1.0
traditional_preference_score,overall_ai_usage_score,147,-0.06093716543432061,0.4634374390974618,1.0
traditional_preference_score,future_intent_score,150,-0.2781278364913704,0.0005687150442641074,0.014786591150866791
experience_score,overall_ai_usage_score,148,-0.1066670237804259,0.19693187242444246,1.0
experience_score,future_intent_score,150,-0.1211818528386019,0.13962139080542027,1.0
security_task_frequency_score,overall_ai_usage_score,148,0.35177716554378363,1.1639629944803577e-05,0.0003724681582337145
security_task_frequency_score,future_intent_score,150,0.03857344355904476,0.6393207674312477,1.0
overall_performance_score,verification_breadth_score,148,0.158464261583764,0.05440125741796376,0.9792226335233477
overall_performance_score,traditional_use_score,147,0.0970865567266094,0.24206982637143595,1.0
risk_score,verification_breadth_score,150,0.06961631879657823,0.3972641914910042,1.0
risk_score,traditional_use_score,149,0.13443990786365478,0.10212090750027407,1.0
negative_fix_outcome_score,verification_breadth_score,148,-0.021015204079538115,0.7998654379106396,1.0
negative_fix_outcome_score,traditional_use_score,147,0.14162992943408026,0.08705360321072328,1.0
traditional_preference_score,verification_breadth_score,150,0.11338420287195054,0.1671222786962121,1.0
traditional_preference_score,traditional_use_score,150,0.4752475806411116,7.986740560678777e-10,3.114828818664723e-08
experience_score,verification_breadth_score,152,0.07549519717556563,0.35527606053517247,1.0
experience_score,traditional_use_score,150,0.07084898534542586,0.38893863368299153,1.0
negative_fix_outcome_score,risk_score,147,0.35586609411813813,9.711385254468956e-06,0.00032047571339747556
negative_fix_outcome_score,traditional_preference_score,147,0.2846494188840796,0.00047530454658906515,0.01283322275790476
positive_fix_outcome_score,risk_score,148,-0.2888997938907893,0.00036936147593308116,0.010711482802059354
positive_fix_outcome_score,future_intent_score,148,0.4680398571863305,1.994669603111582e-09,7.579744491824012e-08
positive_fix_outcome_score,traditional_preference_score,148,-0.20868993372801273,0.010915689112856399,0.24014516048284076
explanation_quality_score,risk_score,130,-0.23485496752301965,0.007153268034223518,0.17167843282136444
explanation_quality_score,future_intent_score,129,0.45116082433647986,8.058274911687999e-08,2.9009789682076796e-06
explanation_quality_score,traditional_preference_score,129,-0.19239693233561495,0.028933585757447873,0.6076053009064053
challenge_breadth_score,risk_score,150,0.22461491197814507,0.005721179650055964,0.1430294912513991
challenge_breadth_score,future_intent_score,150,0.00465166418453307,0.9549476910446766,1.0
challenge_breadth_score,traditional_preference_score,150,0.04530945364199188,0.5819313018276357,1.0
