x,y,n,spearman_rho,p_value
risk,use_llm_detection,73,-0.027407334613023308,0.8179597624827626
risk,use_llm_explanation,93,-0.11350608782793767,0.2786689740897647
risk,use_llm_repair,75,0.0062069255507176966,0.9578504630685535
risk,use_coding_detection,96,-0.041378398003809005,0.6889469799644374
risk,use_coding_explanation,69,-0.2203133306849969,0.0689040559215215
risk,use_coding_repair,103,-0.009847979725486367,0.921353683708321
risk,future_detection,149,-0.19074308737246273,0.019798580161681897
risk,future_explanation,148,-0.09391368351563778,0.25623573678284506
risk,future_repair,148,-0.3756906764153412,2.5354999144316366e-06
risk,prefer_trad_detection,148,0.25513500396032995,0.0017510809492362405
risk,prefer_trad_explanation,147,0.20129667092416187,0.014491745427443995
risk,prefer_trad_repair,148,0.2517722592344247,0.002022866569132927
